67+81->7+1=8,6+8=4c1->148
29+37->9+7=6c1,2+3+1=6c0->66
88+90->8+0=8,8+9=7c1->178
17+75->7+5=2c1,1+7+1=9c0->92
35+29->5+9=4c1,3+2+1=6c0->64
20+87->0+7=7,2+8=0c1->107
54+73->4+3=7,5+7=2c1->127
84+75->4+5=9,8+7=5c1->159
86+57->6+7=3c1,8+5+1=4c1->143
68+40->8+0=8,6+4=0c1->108
4+84->4+4=8,0+8=8->88
95+10->5+0=5,9+1=0c1->105
33+90->3+0=3,3+9=2c1->123
31+54->1+4=5,3+5=8->85
64+68->4+8=2c1,6+6+1=3c1->132
6+28->6+8=4c1,0+2+1=3c0->34
30+29->0+9=9,3+2=5->59
89+81->9+1=0c1,8+8+1=7c1->170
25+57->5+7=2c1,2+5+1=8c0->82
93+91->3+1=4,9+9=8c1->184
54+70->4+0=4,5+7=2c1->124
85+93->5+3=8,8+9=7c1->178
60+41->0+1=1,6+4=0c1->101
55+12->5+2=7,5+1=6->67
11+12->1+2=3,1+1=2->23
95+47->5+7=2c1,9+4+1=4c1->142
65+67->5+7=2c1,6+6+1=3c1->132
94+70->4+0=4,9+7=6c1->164
61+92->1+2=3,6+9=5c1->153
77+67->7+7=4c1,7+6+1=4c1->144
48+29->8+9=7c1,4+2+1=7c0->77
28+84->8+4=2c1,2+8+1=1c1->112
33+75->3+5=8,3+7=0c1->108
17+67->7+7=4c1,1+6+1=8c0->84
94+44->4+4=8,9+4=3c1->138
42+80->2+0=2,4+8=2c1->122
17+33->7+3=0c1,1+3+1=5c0->50
57+22->7+2=9,5+2=7->79
67+36->7+6=3c1,6+3+1=0c1->103
71+20->1+0=1,7+2=9->91
25+63->5+3=8,2+6=8->88
50+27->0+7=7,5+2=7->77
8+86->8+6=4c1,0+8+1=9c0->94
53+19->3+9=2c1,5+1+1=7c0->72
87+41->7+1=8,8+4=2c1->128
33+40->3+0=3,3+4=7->73
75+45->5+5=0c1,7+4+1=2c1->120
89+98->9+8=7c1,8+9+1=8c1->187
55+86->5+6=1c1,5+8+1=4c1->141
42+40->2+0=2,4+4=8->82
10+29->0+9=9,1+2=3->39
37+48->7+8=5c1,3+4+1=8c0->85
12+35->2+5=7,1+3=4->47
8+21->8+1=9,0+2=2->29
22+61->2+1=3,2+6=8->83
70+96->0+6=6,7+9=6c1->166
51+44->1+4=5,5+4=9->95
49+56->9+6=5c1,4+5+1=0c1->105
93+97->3+7=0c1,9+9+1=9c1->190
52+40->2+0=2,5+4=9->92
74+81->4+1=5,7+8=5c1->155
51+81->1+1=2,5+8=3c1->132
86+73->6+3=9,8+7=5c1->159
76+49->6+9=5c1,7+4+1=2c1->125
84+38->4+8=2c1,8+3+1=2c1->122
24+24->4+4=8,2+2=4->48
93+16->3+6=9,9+1=0c1->109
92+79->2+9=1c1,9+7+1=7c1->171
13+96->3+6=9,1+9=0c1->109
17+50->7+0=7,1+5=6->67
34+75->4+5=9,3+7=0c1->109
20+9->0+9=9,2+0=2->29
98+92->8+2=0c1,9+9+1=9c1->190
21+13->1+3=4,2+1=3->34
5+84->5+4=9,0+8=8->89
58+68->8+8=6c1,5+6+1=2c1->126
15+58->5+8=3c1,1+5+1=7c0->73
8+65->8+5=3c1,0+6+1=7c0->73
43+89->3+9=2c1,4+8+1=3c1->132
59+45->9+5=4c1,5+4+1=0c1->104
43+10->3+0=3,4+1=5->53
11+67->1+7=8,1+6=7->78
13+77->3+7=0c1,1+7+1=9c0->90
76+21->6+1=7,7+2=9->97
57+78->7+8=5c1,5+7+1=3c1->135
90+72->0+2=2,9+7=6c1->162
28+41->8+1=9,2+4=6->69
21+8->1+8=9,2+0=2->29
5+73->5+3=8,0+7=7->78
3+31->3+1=4,0+3=3->34
78+24->8+4=2c1,7+2+1=0c1->102
61+38->1+8=9,6+3=9->99
70+16->0+6=6,7+1=8->86
89+71->9+1=0c1,8+7+1=6c1->160
61+55->1+5=6,6+5=1c1->116
1+5->1+5=6->6
34+57->4+7=1c1,3+5+1=9c0->91
96+2->6+2=8,9+0=9->98
24+2->4+2=6,2+0=2->26
69+59->9+9=8c1,6+5+1=2c1->128
1+18->1+8=9,0+1=1->19
8+27->8+7=5c1,0+2+1=3c0->35
96+83->6+3=9,9+8=7c1->179
86+34->6+4=0c1,8+3+1=2c1->120
26+69->6+9=5c1,2+6+1=9c0->95
91+44->1+4=5,9+4=3c1->135
35+40->5+0=5,3+4=7->75
15+36->5+6=1c1,1+3+1=5c0->51
12+17->2+7=9,1+1=2->29
64+62->4+2=6,6+6=2c1->126
75+53->5+3=8,7+5=2c1->128
81+84->1+4=5,8+8=6c1->165
98+17->8+7=5c1,9+1+1=1c1->115
92+51->2+1=3,9+5=4c1->143
40+19->0+9=9,4+1=5->59
47+84->7+4=1c1,4+8+1=3c1->131
94+78->4+8=2c1,9+7+1=7c1->172
74+14->4+4=8,7+1=8->88
14+22->4+2=6,1+2=3->36
41+99->1+9=0c1,4+9+1=4c1->140
16+34->6+4=0c1,1+3+1=5c0->50
54+46->4+6=0c1,5+4+1=0c1->100
18+57->8+7=5c1,1+5+1=7c0->75
35+71->5+1=6,3+7=0c1->106
87+69->7+9=6c1,8+6+1=5c1->156
61+79->1+9=0c1,6+7+1=4c1->140
56+81->6+1=7,5+8=3c1->137
50+79->0+9=9,5+7=2c1->129
65+18->5+8=3c1,6+1+1=8c0->83
88+96->8+6=4c1,8+9+1=8c1->184
4+41->4+1=5,0+4=4->45
35+50->5+0=5,3+5=8->85
23+22->3+2=5,2+2=4->45
17+39->7+9=6c1,1+3+1=5c0->56
4+38->4+8=2c1,0+3+1=4c0->42
6+7->6+7=3c1->13
40+96->0+6=6,4+9=3c1->136
6+38->6+8=4c1,0+3+1=4c0->44
44+24->4+4=8,4+2=6->68
18+79->8+9=7c1,1+7+1=9c0->97
68+77->8+7=5c1,6+7+1=4c1->145
64+80->4+0=4,6+8=4c1->144
47+11->7+1=8,4+1=5->58
88+95->8+5=3c1,8+9+1=8c1->183
45+64->5+4=9,4+6=0c1->109
90+41->0+1=1,9+4=3c1->131
44+97->4+7=1c1,4+9+1=4c1->141
72+36->2+6=8,7+3=0c1->108
82+70->2+0=2,8+7=5c1->152
77+91->7+1=8,7+9=6c1->168
74+51->4+1=5,7+5=2c1->125
4+46->4+6=0c1,0+4+1=5c0->50
81+78->1+8=9,8+7=5c1->159
91+24->1+4=5,9+2=1c1->115
38+70->8+0=8,3+7=0c1->108
76+33->6+3=9,7+3=0c1->109
71+9->1+9=0c1,7+0+1=8c0->80
16+50->6+0=6,1+5=6->66
15+49->5+9=4c1,1+4+1=6c0->64
33+57->3+7=0c1,3+5+1=9c0->90
69+26->9+6=5c1,6+2+1=9c0->95
54+86->4+6=0c1,5+8+1=4c1->140
65+72->5+2=7,6+7=3c1->137
11+27->1+7=8,1+2=3->38
31+73->1+3=4,3+7=0c1->104
23+13->3+3=6,2+1=3->36
56+84->6+4=0c1,5+8+1=4c1->140
61+31->1+1=2,6+3=9->92
38+41->8+1=9,3+4=7->79
67+50->7+0=7,6+5=1c1->117
97+84->7+4=1c1,9+8+1=8c1->181
64+24->4+4=8,6+2=8->88
62+98->2+8=0c1,6+9+1=6c1->160
36+56->6+6=2c1,3+5+1=9c0->92
61+82->1+2=3,6+8=4c1->143
86+94->6+4=0c1,8+9+1=8c1->180
64+73->4+3=7,6+7=3c1->137
75+75->5+5=0c1,7+7+1=5c1->150
73+51->3+1=4,7+5=2c1->124
84+72->4+2=6,8+7=5c1->156
20+36->0+6=6,2+3=5->56
11+24->1+4=5,1+2=3->35
95+67->5+7=2c1,9+6+1=6c1->162
62+87->2+7=9,6+8=4c1->149
18+93->8+3=1c1,1+9+1=1c1->111
14+32->4+2=6,1+3=4->46
24+10->4+0=4,2+1=3->34
49+62->9+2=1c1,4+6+1=1c1->111
7+8->7+8=5c1->15
87+67->7+7=4c1,8+6+1=5c1->154
28+67->8+7=5c1,2+6+1=9c0->95
71+78->1+8=9,7+7=4c1->149
21+68->1+8=9,2+6=8->89
85+56->5+6=1c1,8+5+1=4c1->141
77+52->7+2=9,7+5=2c1->129
36+40->6+0=6,3+4=7->76
83+21->3+1=4,8+2=0c1->104
5+97->5+7=2c1,0+9+1=0c1->102
85+72->5+2=7,8+7=5c1->157
28+46->8+6=4c1,2+4+1=7c0->74
90+67->0+7=7,9+6=5c1->157
65+36->5+6=1c1,6+3+1=0c1->101
24+66->4+6=0c1,2+6+1=9c0->90
24+36->4+6=0c1,2+3+1=6c0->60
37+85->7+5=2c1,3+8+1=2c1->122
82+33->2+3=5,8+3=1c1->115
13+2->3+2=5,1+0=1->15
40+26->0+6=6,4+2=6->66
72+26->2+6=8,7+2=9->98
34+11->4+1=5,3+1=4->45
44+91->4+1=5,4+9=3c1->135
13+30->3+0=3,1+3=4->43
80+55->0+5=5,8+5=3c1->135
35+10->5+0=5,3+1=4->45
95+44->5+4=9,9+4=3c1->139
42+18->2+8=0c1,4+1+1=6c0->60
40+9->0+9=9,4+0=4->49
74+11->4+1=5,7+1=8->85
22+10->2+0=2,2+1=3->32
16+25->6+5=1c1,1+2+1=4c0->41
28+63->8+3=1c1,2+6+1=9c0->91
76+68->6+8=4c1,7+6+1=4c1->144
17+22->7+2=9,1+2=3->39
16+7->6+7=3c1,1+0+1=2c0->23
14+23->4+3=7,1+2=3->37
13+62->3+2=5,1+6=7->75
48+27->8+7=5c1,4+2+1=7c0->75
80+31->0+1=1,8+3=1c1->111
99+37->9+7=6c1,9+3+1=3c1->136
29+74->9+4=3c1,2+7+1=0c1->103
92+53->2+3=5,9+5=4c1->145
1+58->1+8=9,0+5=5->59
48+49->8+9=7c1,4+4+1=9c0->97
87+47->7+7=4c1,8+4+1=3c1->134
28+21->8+1=9,2+2=4->49
1+15->1+5=6,0+1=1->16
68+26->8+6=4c1,6+2+1=9c0->94
1+50->1+0=1,0+5=5->51
24+38->4+8=2c1,2+3+1=6c0->62
32+18->2+8=0c1,3+1+1=5c0->50
19+80->9+0=9,1+8=9->99
41+70->1+0=1,4+7=1c1->111
74+85->4+5=9,7+8=5c1->159
41+35->1+5=6,4+3=7->76
75+61->5+1=6,7+6=3c1->136
44+69->4+9=3c1,4+6+1=1c1->113
26+16->6+6=2c1,2+1+1=4c0->42
4+20->4+0=4,0+2=2->24
32+79->2+9=1c1,3+7+1=1c1->111
88+42->8+2=0c1,8+4+1=3c1->130
16+69->6+9=5c1,1+6+1=8c0->85
50+34->0+4=4,5+3=8->84
93+17->3+7=0c1,9+1+1=1c1->110
85+10->5+0=5,8+1=9->95
79+23->9+3=2c1,7+2+1=0c1->102
5+91->5+1=6,0+9=9->96
95+96->5+6=1c1,9+9+1=9c1->191
10+67->0+7=7,1+6=7->77
44+84->4+4=8,4+8=2c1->128
3+3->3+3=6->6
18+84->8+4=2c1,1+8+1=0c1->102
57+94->7+4=1c1,5+9+1=5c1->151
3+50->3+0=3,0+5=5->53
59+6->9+6=5c1,5+0+1=6c0->65
88+52->8+2=0c1,8+5+1=4c1->140
64+51->4+1=5,6+5=1c1->115
75+67->5+7=2c1,7+6+1=4c1->142
70+27->0+7=7,7+2=9->97
37+92->7+2=9,3+9=2c1->129
48+98->8+8=6c1,4+9+1=4c1->146
14+68->4+8=2c1,1+6+1=8c0->82
57+52->7+2=9,5+5=0c1->109
74+96->4+6=0c1,7+9+1=7c1->170
30+41->0+1=1,3+4=7->71
22+88->2+8=0c1,2+8+1=1c1->110
20+3->0+3=3,2+0=2->23
70+13->0+3=3,7+1=8->83
70+79->0+9=9,7+7=4c1->149
76+72->6+2=8,7+7=4c1->148
83+81->3+1=4,8+8=6c1->164
8+77->8+7=5c1,0+7+1=8c0->85
85+4->5+4=9,8+0=8->89
42+71->2+1=3,4+7=1c1->113
70+89->0+9=9,7+8=5c1->159
4+19->4+9=3c1,0+1+1=2c0->23
41+1->1+1=2,4+0=4->42
49+43->9+3=2c1,4+4+1=9c0->92
3+81->3+1=4,0+8=8->84
66+36->6+6=2c1,6+3+1=0c1->102
59+97->9+7=6c1,5+9+1=5c1->156
61+59->1+9=0c1,6+5+1=2c1->120
71+48->1+8=9,7+4=1c1->119
66+63->6+3=9,6+6=2c1->129
82+10->2+0=2,8+1=9->92
54+41->4+1=5,5+4=9->95
7+30->7+0=7,0+3=3->37
97+20->7+0=7,9+2=1c1->117
4+37->4+7=1c1,0+3+1=4c0->41
52+93->2+3=5,5+9=4c1->145
82+21->2+1=3,8+2=0c1->103
32+44->2+4=6,3+4=7->76
52+48->2+8=0c1,5+4+1=0c1->100
35+98->5+8=3c1,3+9+1=3c1->133
76+24->6+4=0c1,7+2+1=0c1->100
1+84->1+4=5,0+8=8->85
60+23->0+3=3,6+2=8->83
5+30->5+0=5,0+3=3->35
81+26->1+6=7,8+2=0c1->107
86+93->6+3=9,8+9=7c1->179
95+31->5+1=6,9+3=2c1->126
86+59->6+9=5c1,8+5+1=4c1->145
19+44->9+4=3c1,1+4+1=6c0->63
34+67->4+7=1c1,3+6+1=0c1->101
69+13->9+3=2c1,6+1+1=8c0->82
32+46->2+6=8,3+4=7->78
98+9->8+9=7c1,9+0+1=0c1->107
3+9->3+9=2c1->12
9+76->9+6=5c1,0+7+1=8c0->85
60+1->0+1=1,6+0=6->61
21+22->1+2=3,2+2=4->43
87+18->7+8=5c1,8+1+1=0c1->105
56+32->6+2=8,5+3=8->88
67+12->7+2=9,6+1=7->79
40+85->0+5=5,4+8=2c1->125
44+75->4+5=9,4+7=1c1->119
93+6->3+6=9,9+0=9->99
95+50->5+0=5,9+5=4c1->145
87+40->7+0=7,8+4=2c1->127
84+36->4+6=0c1,8+3+1=2c1->120
56+82->6+2=8,5+8=3c1->138
74+65->4+5=9,7+6=3c1->139
27+24->7+4=1c1,2+2+1=5c0->51
42+44->2+4=6,4+4=8->86
92+75->2+5=7,9+7=6c1->167
72+56->2+6=8,7+5=2c1->128
51+21->1+1=2,5+2=7->72
42+96->2+6=8,4+9=3c1->138
83+40->3+0=3,8+4=2c1->123
52+61->2+1=3,5+6=1c1->113
38+65->8+5=3c1,3+6+1=0c1->103
89+86->9+6=5c1,8+8+1=7c1->175
91+5->1+5=6,9+0=9->96
7+17->7+7=4c1,0+1+1=2c0->24
87+54->7+4=1c1,8+5+1=4c1->141
14+19->4+9=3c1,1+1+1=3c0->33
26+70->6+0=6,2+7=9->96
71+3->1+3=4,7+0=7->74
73+39->3+9=2c1,7+3+1=1c1->112
92+6->2+6=8,9+0=9->98
29+88->9+8=7c1,2+8+1=1c1->117
8+48->8+8=6c1,0+4+1=5c0->56
73+65->3+5=8,7+6=3c1->138
14+79->4+9=3c1,1+7+1=9c0->93
57+60->7+0=7,5+6=1c1->117
49+7->9+7=6c1,4+0+1=5c0->56
38+37->8+7=5c1,3+3+1=7c0->75
71+5->1+5=6,7+0=7->76
63+15->3+5=8,6+1=7->78
28+54->8+4=2c1,2+5+1=8c0->82
53+26->3+6=9,5+2=7->79
97+52->7+2=9,9+5=4c1->149
29+62->9+2=1c1,2+6+1=9c0->91
68+58->8+8=6c1,6+5+1=2c1->126
18+70->8+0=8,1+7=8->88
44+90->4+0=4,4+9=3c1->134
28+52->8+2=0c1,2+5+1=8c0->80
95+1->5+1=6,9+0=9->96
86+98->6+8=4c1,8+9+1=8c1->184
32+48->2+8=0c1,3+4+1=8c0->80
14+80->4+0=4,1+8=9->94
52+67->2+7=9,5+6=1c1->119
30+57->0+7=7,3+5=8->87
12+83->2+3=5,1+8=9->95
39+33->9+3=2c1,3+3+1=7c0->72
59+46->9+6=5c1,5+4+1=0c1->105
14+13->4+3=7,1+1=2->27
89+4->9+4=3c1,8+0+1=9c0->93
46+54->6+4=0c1,4+5+1=0c1->100
96+62->6+2=8,9+6=5c1->158
78+16->8+6=4c1,7+1+1=9c0->94
58+88->8+8=6c1,5+8+1=4c1->146
81+97->1+7=8,8+9=7c1->178
77+49->7+9=6c1,7+4+1=2c1->126
35+4->5+4=9,3+0=3->39
96+30->6+0=6,9+3=2c1->126
83+39->3+9=2c1,8+3+1=2c1->122
62+82->2+2=4,6+8=4c1->144
51+62->1+2=3,5+6=1c1->113
11+77->1+7=8,1+7=8->88
41+17->1+7=8,4+1=5->58
28+15->8+5=3c1,2+1+1=4c0->43
35+76->5+6=1c1,3+7+1=1c1->111
73+86->3+6=9,7+8=5c1->159
90+80->0+0=0,9+8=7c1->170
13+28->3+8=1c1,1+2+1=4c0->41
8+81->8+1=9,0+8=8->89
80+27->0+7=7,8+2=0c1->107
31+12->1+2=3,3+1=4->43
89+1->9+1=0c1,8+0+1=9c0->90
82+69->2+9=1c1,8+6+1=5c1->151
27+7->7+7=4c1,2+0+1=3c0->34
27+16->7+6=3c1,2+1+1=4c0->43
81+45->1+5=6,8+4=2c1->126
84+30->4+0=4,8+3=1c1->114
85+31->5+1=6,8+3=1c1->116
16+86->6+6=2c1,1+8+1=0c1->102
44+42->4+2=6,4+4=8->86
11+45->1+5=6,1+4=5->56
59+83->9+3=2c1,5+8+1=4c1->142
44+93->4+3=7,4+9=3c1->137
75+98->5+8=3c1,7+9+1=7c1->173
20+50->0+0=0,2+5=7->70
18+52->8+2=0c1,1+5+1=7c0->70
28+74->8+4=2c1,2+7+1=0c1->102
40+49->0+9=9,4+4=8->89
79+14->9+4=3c1,7+1+1=9c0->93
62+85->2+5=7,6+8=4c1->147
74+26->4+6=0c1,7+2+1=0c1->100
14+3->4+3=7,1+0=1->17
60+80->0+0=0,6+8=4c1->140
8+25->8+5=3c1,0+2+1=3c0->33
47+29->7+9=6c1,4+2+1=7c0->76
23+48->3+8=1c1,2+4+1=7c0->71
72+25->2+5=7,7+2=9->97
5+54->5+4=9,0+5=5->59
77+33->7+3=0c1,7+3+1=1c1->110
70+81->0+1=1,7+8=5c1->151
60+6->0+6=6,6+0=6->66
14+65->4+5=9,1+6=7->79
40+38->0+8=8,4+3=7->78
83+57->3+7=0c1,8+5+1=4c1->140
23+30->3+0=3,2+3=5->53
55+77->5+7=2c1,5+7+1=3c1->132
57+85->7+5=2c1,5+8+1=4c1->142
75+50->5+0=5,7+5=2c1->125
73+34->3+4=7,7+3=0c1->107
93+30->3+0=3,9+3=2c1->123
34+6->4+6=0c1,3+0+1=4c0->40
24+40->4+0=4,2+4=6->64
97+45->7+5=2c1,9+4+1=4c1->142
36+85->6+5=1c1,3+8+1=2c1->121
20+4->0+4=4,2+0=2->24
2+41->2+1=3,0+4=4->43
14+34->4+4=8,1+3=4->48
82+18->2+8=0c1,8+1+1=0c1->100
50+36->0+6=6,5+3=8->86
61+19->1+9=0c1,6+1+1=8c0->80
34+52->4+2=6,3+5=8->86
85+82->5+2=7,8+8=6c1->167
58+71->8+1=9,5+7=2c1->129
59+99->9+9=8c1,5+9+1=5c1->158
75+93->5+3=8,7+9=6c1->168
18+37->8+7=5c1,1+3+1=5c0->55
87+3->7+3=0c1,8+0+1=9c0->90
7+77->7+7=4c1,0+7+1=8c0->84
64+97->4+7=1c1,6+9+1=6c1->161
29+70->9+0=9,2+7=9->99
31+41->1+1=2,3+4=7->72
69+53->9+3=2c1,6+5+1=2c1->122
74+8->4+8=2c1,7+0+1=8c0->82
59+35->9+5=4c1,5+3+1=9c0->94
71+94->1+4=5,7+9=6c1->165
56+94->6+4=0c1,5+9+1=5c1->150
8+80->8+0=8,0+8=8->88
8+83->8+3=1c1,0+8+1=9c0->91
34+85->4+5=9,3+8=1c1->119
52+9->2+9=1c1,5+0+1=6c0->61
64+89->4+9=3c1,6+8+1=5c1->153
71+54->1+4=5,7+5=2c1->125
80+51->0+1=1,8+5=3c1->131
86+43->6+3=9,8+4=2c1->129
18+76->8+6=4c1,1+7+1=9c0->94
83+74->3+4=7,8+7=5c1->157
94+90->4+0=4,9+9=8c1->184
25+40->5+0=5,2+4=6->65
12+61->2+1=3,1+6=7->73
22+83->2+3=5,2+8=0c1->105
85+1->5+1=6,8+0=8->86
90+35->0+5=5,9+3=2c1->125
37+99->7+9=6c1,3+9+1=3c1->136
84+80->4+0=4,8+8=6c1->164
9+71->9+1=0c1,0+7+1=8c0->80
39+98->9+8=7c1,3+9+1=3c1->137
84+13->4+3=7,8+1=9->97
40+30->0+0=0,4+3=7->70
21+80->1+0=1,2+8=0c1->101
9+36->9+6=5c1,0+3+1=4c0->45
97+42->7+2=9,9+4=3c1->139
76+95->6+5=1c1,7+9+1=7c1->171
58+56->8+6=4c1,5+5+1=1c1->114
58+95->8+5=3c1,5+9+1=5c1->153
65+7->5+7=2c1,6+0+1=7c0->72
83+24->3+4=7,8+2=0c1->107
90+76->0+6=6,9+7=6c1->166
88+70->8+0=8,8+7=5c1->158
21+49->1+9=0c1,2+4+1=7c0->70
31+10->1+0=1,3+1=4->41
49+47->9+7=6c1,4+4+1=9c0->96
41+25->1+5=6,4+2=6->66
80+64->0+4=4,8+6=4c1->144
54+33->4+3=7,5+3=8->87
76+7->6+7=3c1,7+0+1=8c0->83
17+53->7+3=0c1,1+5+1=7c0->70
23+93->3+3=6,2+9=1c1->116
12+18->2+8=0c1,1+1+1=3c0->30
8+35->8+5=3c1,0+3+1=4c0->43
48+82->8+2=0c1,4+8+1=3c1->130
15+8->5+8=3c1,1+0+1=2c0->23
46+57->6+7=3c1,4+5+1=0c1->103
43+46->3+6=9,4+4=8->89
88+86->8+6=4c1,8+8+1=7c1->174
6+31->6+1=7,0+3=3->37
21+3->1+3=4,2+0=2->24
63+67->3+7=0c1,6+6+1=3c1->130
25+75->5+5=0c1,2+7+1=0c1->100
64+84->4+4=8,6+8=4c1->148
10+9->0+9=9,1+0=1->19
19+24->9+4=3c1,1+2+1=4c0->43
6+53->6+3=9,0+5=5->59
13+43->3+3=6,1+4=5->56
85+35->5+5=0c1,8+3+1=2c1->120
8+28->8+8=6c1,0+2+1=3c0->36
92+57->2+7=9,9+5=4c1->149
78+62->8+2=0c1,7+6+1=4c1->140
71+26->1+6=7,7+2=9->97
16+42->6+2=8,1+4=5->58
77+71->7+1=8,7+7=4c1->148
34+63->4+3=7,3+6=9->97
55+58->5+8=3c1,5+5+1=1c1->113
69+5->9+5=4c1,6+0+1=7c0->74
18+28->8+8=6c1,1+2+1=4c0->46
70+84->0+4=4,7+8=5c1->154
51+31->1+1=2,5+3=8->82
16+33->6+3=9,1+3=4->49
58+37->8+7=5c1,5+3+1=9c0->95
25+88->5+8=3c1,2+8+1=1c1->113
63+39->3+9=2c1,6+3+1=0c1->102
90+5->0+5=5,9+0=9->95
91+67->1+7=8,9+6=5c1->158
82+75->2+5=7,8+7=5c1->157
35+85->5+5=0c1,3+8+1=2c1->120
38+14->8+4=2c1,3+1+1=5c0->52
37+44->7+4=1c1,3+4+1=8c0->81
33+74->3+4=7,3+7=0c1->107
40+36->0+6=6,4+3=7->76
30+17->0+7=7,3+1=4->47
82+22->2+2=4,8+2=0c1->104
31+13->1+3=4,3+1=4->44
92+50->2+0=2,9+5=4c1->142
52+77->2+7=9,5+7=2c1->129
33+51->3+1=4,3+5=8->84
52+5->2+5=7,5+0=5->57
40+21->0+1=1,4+2=6->61
18+66->8+6=4c1,1+6+1=8c0->84
94+34->4+4=8,9+3=2c1->128
91+18->1+8=9,9+1=0c1->109
44+58->4+8=2c1,4+5+1=0c1->102
58+51->8+1=9,5+5=0c1->109
35+48->5+8=3c1,3+4+1=8c0->83
22+95->2+5=7,2+9=1c1->117
65+92->5+2=7,6+9=5c1->157
67+51->7+1=8,6+5=1c1->118
12+51->2+1=3,1+5=6->63
12+31->2+1=3,1+3=4->43
14+29->4+9=3c1,1+2+1=4c0->43
55+84->5+4=9,5+8=3c1->139
62+14->2+4=6,6+1=7->76
26+92->6+2=8,2+9=1c1->118
89+77->9+7=6c1,8+7+1=6c1->166
57+65->7+5=2c1,5+6+1=2c1->122
33+2->3+2=5,3+0=3->35
53+63->3+3=6,5+6=1c1->116
62+21->2+1=3,6+2=8->83
25+86->5+6=1c1,2+8+1=1c1->111
18+21->8+1=9,1+2=3->39
16+49->6+9=5c1,1+4+1=6c0->65
74+58->4+8=2c1,7+5+1=3c1->132
81+60->1+0=1,8+6=4c1->141
90+26->0+6=6,9+2=1c1->116
31+38->1+8=9,3+3=6->69
93+47->3+7=0c1,9+4+1=4c1->140
83+91->3+1=4,8+9=7c1->174
7+36->7+6=3c1,0+3+1=4c0->43
62+53->2+3=5,6+5=1c1->115
9+49->9+9=8c1,0+4+1=5c0->58
91+45->1+5=6,9+4=3c1->136
5+57->5+7=2c1,0+5+1=6c0->62
12+91->2+1=3,1+9=0c1->103
96+23->6+3=9,9+2=1c1->119
56+37->6+7=3c1,5+3+1=9c0->93
60+29->0+9=9,6+2=8->89
31+77->1+7=8,3+7=0c1->108
27+87->7+7=4c1,2+8+1=1c1->114
96+57->6+7=3c1,9+5+1=5c1->153
12+63->2+3=5,1+6=7->75
66+12->6+2=8,6+1=7->78
63+91->3+1=4,6+9=5c1->154
76+96->6+6=2c1,7+9+1=7c1->172
88+10->8+0=8,8+1=9->98
60+33->0+3=3,6+3=9->93
13+25->3+5=8,1+2=3->38
30+80->0+0=0,3+8=1c1->110
90+14->0+4=4,9+1=0c1->104
42+92->2+2=4,4+9=3c1->134
81+49->1+9=0c1,8+4+1=3c1->130
57+26->7+6=3c1,5+2+1=8c0->83
19+66->9+6=5c1,1+6+1=8c0->85
86+37->6+7=3c1,8+3+1=2c1->123
30+74->0+4=4,3+7=0c1->104
49+79->9+9=8c1,4+7+1=2c1->128
55+20->5+0=5,5+2=7->75
91+77->1+7=8,9+7=6c1->168
98+14->8+4=2c1,9+1+1=1c1->112
47+73->7+3=0c1,4+7+1=2c1->120
90+7->0+7=7,9+0=9->97
81+27->1+7=8,8+2=0c1->108
78+46->8+6=4c1,7+4+1=2c1->124
23+51->3+1=4,2+5=7->74
80+35->0+5=5,8+3=1c1->115
72+65->2+5=7,7+6=3c1->137
61+95->1+5=6,6+9=5c1->156
28+81->8+1=9,2+8=0c1->109
16+14->6+4=0c1,1+1+1=3c0->30
28+72->8+2=0c1,2+7+1=0c1->100
44+45->4+5=9,4+4=8->89
91+10->1+0=1,9+1=0c1->101
4+16->4+6=0c1,0+1+1=2c0->20
50+7->0+7=7,5+0=5->57
17+71->7+1=8,1+7=8->88
92+40->2+0=2,9+4=3c1->132
78+27->8+7=5c1,7+2+1=0c1->105
50+13->0+3=3,5+1=6->63
35+56->5+6=1c1,3+5+1=9c0->91
19+1->9+1=0c1,1+0+1=2c0->20
73+82->3+2=5,7+8=5c1->155
11+10->1+0=1,1+1=2->21
43+13->3+3=6,4+1=5->56
67+24->7+4=1c1,6+2+1=9c0->91
45+13->5+3=8,4+1=5->58
14+98->4+8=2c1,1+9+1=1c1->112
66+25->6+5=1c1,6+2+1=9c0->91
20+82->0+2=2,2+8=0c1->102
92+55->2+5=7,9+5=4c1->147
10+11->0+1=1,1+1=2->21
9+14->9+4=3c1,0+1+1=2c0->23
42+91->2+1=3,4+9=3c1->133
80+82->0+2=2,8+8=6c1->162
78+34->8+4=2c1,7+3+1=1c1->112
67+14->7+4=1c1,6+1+1=8c0->81
23+2->3+2=5,2+0=2->25
15+15->5+5=0c1,1+1+1=3c0->30
90+16->0+6=6,9+1=0c1->106
39+70->9+0=9,3+7=0c1->109
12+58->2+8=0c1,1+5+1=7c0->70
98+38->8+8=6c1,9+3+1=3c1->136
56+48->6+8=4c1,5+4+1=0c1->104
36+36->6+6=2c1,3+3+1=7c0->72
77+84->7+4=1c1,7+8+1=6c1->161
5+44->5+4=9,0+4=4->49
28+78->8+8=6c1,2+7+1=0c1->106
12+19->2+9=1c1,1+1+1=3c0->31
38+12->8+2=0c1,3+1+1=5c0->50
57+18->7+8=5c1,5+1+1=7c0->75
35+55->5+5=0c1,3+5+1=9c0->90
